Organization Name,Organization Name URL,Growth Category,Number of Employees,Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Full Description,Headquarters Location,Description,CB Rank (Company),Acquired by,Acquired by URL,Acquisition Type,Acquisition Terms,Estimated Revenue Range,Founded Date,Founded Date Precision,Operating Status,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,LinkedIn,Founders,Number of Founders,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Industries
Carbon Robotics,https://www.crunchbase.com/organization/maka-autonomous-robots,Growing,101-250,Series D,70000000,USD,70000000,"Carbon Robotics is a robotics company that focuses on developing innovative solutions for agriculture. They are known for their flagship product, the ""Autonomous Weeder,"" which is a robotic system designed to identify and remove weeds from crop fields autonomously. The Autonomous Weeder utilizes artificial intelligence and computer vision to distinguish between crops and weeds, allowing it to precisely target and eliminate unwanted plants without needing herbicides or manual labor. This technology has the potential to revolutionize weed management in agriculture, offering a more sustainable and efficient alternative to traditional methods.","Seattle, Washington, United States",Carbon Robotics is an AI-powered farming robotics company enhancing efficiency with precision agriculture tools.,40,,,,,$1M to $10M,2018-01-01,year,Active,,,,,For Profit,https://carbonrobotics.com,https://www.linkedin.com/company/maka-ars,Paul Mikesell,1,6,143899968,USD,143899968,"Liquid 2 Ventures, NVentures, Revolution, Bond, Anthos Capital",6,10,"AgTech, Artificial Intelligence (AI), Robotics, Software"
Pivot Bio,https://www.crunchbase.com/organization/pivot-bio,Growing,251-500,Series D,430000000,USD,430000000,"Pivot Bio is improving and using a deep understanding of the microbiome to advance crop nutrition. They believe that microbes can deliver nutrients, protect against pests, and improve crop quality better than chemical fertilizers and pesticides. They leverage engineering principles and data science to map the dynamics of the plant microbiome and evolve beneficial traits. Their team thrives on collaboration and communication as they seek to create revolutionary fertilizers that transform food supply and improves the planet. Pivot Bio's proprietary ON Technology harnesses the power of naturally occurring microbes to provide more nutrients to crops. It’s a smart, sustainable way for farmers to improve yield as they work to help feed the world’s growing population. Their current efforts are focused on enabling microbes to fix and supply more nitrogen to corn. Pivot Bio was founded in 2010 and is headquartered in Berkeley, California, United States.","Berkeley, California, United States",Pivot Bio is an agricultural tech company improving the microbiome by taking nitrogen from the air and making it available for plants.,351,,,,,$10M to $50M,2011-01-01,year,Active,,,,,For Profit,http://www.pivotbio.com/,https://www.linkedin.com/company/pivot-bio,"Alvin Tamsir, Karsten Temme",2,7,616896489,USD,616896489,"Temasek Holdings, National Science Foundation, Rockefeller Capital Management, Bill & Melinda Gates Foundation, Breakthrough Energy Ventures",6,21,"Agriculture, AgTech, Biotechnology, CleanTech"
MARUT Drones,https://www.crunchbase.com/organization/marut-drones,Growing,101-250,Series A,521000000,INR,6195256,"Marut Drones specializes in creating drones for various agricultural applications, including pesticide spraying, fertilizer broadcasting, and crop intelligence. The company also provides help in surveillance, and land surveying and has found takers from the defense, revenue sectors, and police departments. They have also come up with a platform that will enable artificial intelligence-based prediction of mosquito density, larvae count, prepare real-time reports, and identify high and low-risk areas using predictive analytics. MARUT Drones has custom-made drones for defense, logistics, agriculture, surveillance, surveying purposes, and payload drop. They are transforming the way businesses collect, manage, and interpret drone data. Their custom-built 10-liter drones can spray 5-6 acres per hour at an effective work rate of about 25 acres per day. The drones make use of GPS and radar for efficient, precision, and uniform spraying with the ability to monitor data from time to time.","Hyderabad, Andhra Pradesh, India",MARUT Drones is a drone technology company that uses drones to enhance agricultural productivity and efficiency in farming practices.,360,,,,,,2019-03-28,day,Active,,,,,For Profit,https://marutdrones.com,https://www.linkedin.com/company/marutdrones,"Prem Kumar Vislawath, Suraj Peddi",2,2,6295256,USD,6295256,"Lok Capital, Villgro, Vijay Shankar, Kiran Darisi, NABKISAN Finance",2,6,"AgTech, Artificial Intelligence (AI), Drones, Information Technology, Machinery Manufacturing, Software"
Elicit Plant,https://www.crunchbase.com/organization/elicit-plant,Growing,51-100,Series B,48000000,USD,48000000,"Elicit Plant is an agro-biotech company specializing in crops’ water resistance and the development of innovative phytosterol-based solutions. The company develops products that significantly reduce water stress in field-grown plants, making them better equipped to handle water shortages.","Vilhonneur, Poitou-Charentes, France",Elicit Plant is an agro-biotech company thatfocuses on enhancing the resilience of crops under drought conditions through natural processes.,383,,,,,$1M to $10M,2017-01-01,year,Active,,,,,For Profit,https://www.elicit-plant.com,https://www.linkedin.com/company/elicit-plant,"Aymeric Molin, Jean-Francois (Jeff) Dechant, Olivier Goulay",3,4,73784602,USD,73784602,"Bpifrance, European Innovation Council, Sofinnova Partners, European Circular Bioeconomy Fund, Crédit Agricole",3,8,"Agriculture, AgTech, Biotechnology"
Plantible Foods,https://www.crunchbase.com/organization/plantible-foods,Growing,101-250,Series B,30000000,USD,30000000,"Plantible Foods is a B2B food technology company producing sustainable plant-based protein to optimize the food industry. The company develops a proprietary and vertically integrated agricultural manufacturing platform to allow food companies to innovate while optimizing costs and delivering products with improved taste, texture, health, and environmental footprint.","San Diego, California, United States",Plantible Foods is a food technology company that produces protein products for agricultural industries.,622,,,,,$1M to $10M,2018-01-01,year,Active,,,,,For Profit,https://www.plantiblefoods.com,https://www.linkedin.com/company/plantible,"Maurits van de Ven, Tony Martens",2,4,56400000,USD,56400000,"Creative Destruction Lab (CDL), Astanor Ventures, Piva Capital, FTW Ventures, Lerer Hippeau",6,18,"Agriculture, AgTech, Alternative Protein, Food Processing, Nutrition"
Edible Garden,https://www.crunchbase.com/organization/edible-garden,Growing,101-250,Grant,,,,"Edible Garden provides fresh, locally grown herbs and lettuce to supermarkets and restaurants. The company is recognized for its innovative approaches in controlled-environment agriculture, focusing on sustainability and locally grown produce. It utilizes proprietary technologies and techniques to enhance its farming methods while minimizing waste, aligning with its Zero-Waste Inspired® mission.","Belvidere, New Jersey, United States",Edible Garden is a controlled environment agriculture company that enhances its farming methods while minimizing waste.,974,,,,,$1M to $10M,2015-01-01,year,Active,2022-05-06,day,,,For Profit,https://ediblegardenag.com,https://www.linkedin.com/company/edible-garden,"Jim Kras, Michael James",2,6,14650000,USD,14650000,"U.S. Department of Agriculture, Michigan Occupational Safety and Health Administration",2,2,"Agriculture, AgTech, Farming, Sustainability"
Farmblox,https://www.crunchbase.com/organization/farmblox,,11-50,Seed,2500000,USD,2500000,"Farmblox is a farm automation platform, combining a sensor ecosystem, carbon sequestration monitoring, and AI workflows – saving up to 50% in labor costs, reducing water usage, and generating new revenue streams for modern farming. Reliably monitoring remote farmland in all weather conditions, Farmblox gives farmers a simple dashboard to quickly identify operational issues like irrigation leaks, weather risks, or equipment failure to operate more efficiently. Farmblox allows farmers to mix and match sensors, build AI-powered automation, and manage operations from anywhere within a single, unified platform.","Waltham, Massachusetts, United States",Farmblox utilizes IoT and AI to give farmers the tools to automate their operations.,"1,330",,,,,,2022-01-01,year,Active,,,,,For Profit,https://www.farmblox.ag/,https://www.linkedin.com/company/farmblox,"John Dyer, Marc Printz, Mitch Gaines, Nathan Rosenberg",4,1,2500000,USD,2500000,"Service Provider Capital, Slow Ventures, MHS Capital, Hyperplane",1,4,"AgTech, Farming, Internet of Things, Machine Learning"
Future Fields,https://www.crunchbase.com/organization/future-fields,,11-50,Series A,15100000,CAD,11149087,"Future Fields is committed to producing sustainable components for science through insect biotechnology. Its EntoEngine™ platform is the first to harness the genetic prowess of fruit flies to produce Earth’s most environmentally and economically sustainable biomolecules. Founded in 2018, Future Fields is headquartered in Edmonton, Canada and proudly backed by marquee venture capital firms and investors from Silicon Valley and beyond. Learn more about how Future Fields is enabling great science at https://futurefields.io/.","Edmonton, Alberta, Canada",Future Fields harnesses insect biotechnology to make sustainable recombinant proteins.,"1,376",,,,,$1M to $10M,2018-02-18,day,Active,,,,,For Profit,https://www.futurefields.io/,https://www.linkedin.com/company/future-fields/,"Jalene Anderson-Baron, Lejjy Gafour, Matthew Anderson-Baron",3,7,18927341,USD,18927341,"Y Combinator, Bossanova Investimentos, Toyota Ventures, AgFunder, Pioneer Fund",5,16,"Agriculture, AgTech, Alternative Protein, Biotechnology, CleanTech, Farming, Life Science"
Monarch Tractor,https://www.crunchbase.com/organization/monarch-tractors,Growing,251-500,Grant,,,,"Monarch Tractor creates fully electric, autonomous tractors designed to enhance agriculture productivity, sustainability, and safety. Monarch tractors are fully electric, which reduces reliance on fossil fuels and decreases greenhouse gas emissions, helping farmers lower their carbon footprint and achieve sustainability goals. These tractors operate autonomously, utilizing advanced sensors and machine learning to navigate fields, monitor crop health, and perform tasks without human intervention, enabling precision farming. Equipped with sensors that collect data on crop health, soil conditions, and other variables, Monarch tractors analyze this data to provide farmers with actionable insights for optimizing their farming practices.","Livermore, California, United States","Monarch Tractor creates fully electric, autonomous tractors designed to enhance productivity, sustainability, and safety in agriculture.","1,445",,,,,$1M to $10M,2017-01-01,year,Active,,,,,For Profit,https://monarchtractor.com,https://www.linkedin.com/company/monarch-tractor,"Carlo Mondavi, Mark Schwager, Praveen Penmetsa, Zachary Omohundro",4,5,214000000,USD,214000000,"Sahin Boydas, CNH Industrial, Astanor Ventures, California Energy Commission, At One Ventures",6,14,"Agriculture, AgTech, Analytics, Artificial Intelligence (AI), Electric Vehicle, Farming"
Benson Hill,https://www.crunchbase.com/organization/benson-hill-biosystems,Growing,251-500,Post-IPO Equity,85000000,USD,85000000,"Benson Hill is a crop improvement company that unlocks the natural diversity of plants and empowers innovators with a revolutionary crop design platform to develop healthier and more sustainable food and ingredients. Benson Hill empowers innovators to develop more healthy, flavorful, and sustainable food by unlocking the natural genetic diversity of plants. Benson Hill’s CropOS™ platform combines machine learning and big data with breeding techniques and plant biology to drastically accelerate and simplify the product development process.","St Louis, Missouri, United States",Benson Hill is a provider of crop design platform to develop healthier and more sustainable food and ingredients.,"1,482",,,,,$100M to $500M,2012-01-01,year,Active,2021-09-30,day,,,For Profit,http://www.bensonhill.com,https://www.linkedin.com/company/benson-hill/,"Matthew B. Crisp, Todd C. Mockler",2,15,592916489,USD,592916489,"BlackRock, National Science Foundation, Alexandria Venture Investments, Google Ventures, Mercury",10,31,"Agriculture, AgTech, Artificial Intelligence (AI), Biotechnology, Machine Learning"
